,List,Ratings,votes,Directors
0,Barbie in the Nutcracker,"<span class=""ipl-rating-star__rating"">6.3</span>","<span data-value=""6699"" name=""nv"">6,699</span>","<a href=""/name/nm0403481/"">Owen Hurley</a>"
1,Barbie as Rapunzel,"<span class=""ipl-rating-star__rating"">6.4</span>","<span data-value=""6732"" name=""nv"">6,732</span>","<a href=""/name/nm0403481/"">Owen Hurley</a>"
2,Barbie of Swan Lake,"<span class=""ipl-rating-star__rating"">6.4</span>","<span data-value=""6194"" name=""nv"">6,194</span>","<a href=""/name/nm0403481/"">Owen Hurley</a>"
3,Barbie as the Princess and the Pauper,"<span class=""ipl-rating-star__rating"">6.9</span>","<span data-value=""7209"" name=""nv"">7,209</span>","<a href=""/name/nm0490640/"">William Lau</a>"
4,Barbie: Fairytopia,"<span class=""ipl-rating-star__rating"">6</span>","<span data-value=""4159"" name=""nv"">4,159</span>","<a href=""/name/nm0554228/"">Walter P. Martishius</a>"
5,Barbie and the Magic of Pegasus,"<span class=""ipl-rating-star__rating"">6.5</span>","<span data-value=""4241"" name=""nv"">4,241</span>","<a href=""/name/nm1256147/"">Greg Richardson</a>"
6,The Barbie Diaries,"<span class=""ipl-rating-star__rating"">5.4</span>","<span data-value=""2056"" name=""nv"">2,056</span>","<a href=""/name/nm0283888/"">Eric Fogel</a>"
7,Barbie Fairytopia: Mermaidia,"<span class=""ipl-rating-star__rating"">6.2</span>","<span data-value=""3557"" name=""nv"">3,557</span>","<a href=""/name/nm0490640/"">William Lau</a>"
8,Barbie in the 12 Dancing Princesses,"<span class=""ipl-rating-star__rating"">6.8</span>","<span data-value=""5130"" name=""nv"">5,130</span>","<a href=""/name/nm1256147/"">Greg Richardson</a>"
9,Barbie Fairytopia: Magic of the Rainbow,"<span class=""ipl-rating-star__rating"">6.1</span>","<span data-value=""2520"" name=""nv"">2,520</span>","<a href=""/name/nm0490640/"">William Lau</a>"
10,Barbie as the Island Princess,"<span class=""ipl-rating-star__rating"">6.4</span>","<span data-value=""3775"" name=""nv"">3,775</span>","<a href=""/name/nm1256147/"">Greg Richardson</a>"
11,Barbie Mariposa and Her Butterfly Fairy Friends,"<span class=""ipl-rating-star__rating"">6</span>","<span data-value=""2789"" name=""nv"">2,789</span>","<a href=""/name/nm0375876/"">Conrad Helten</a>"
12,Barbie and the Diamond Castle,"<span class=""ipl-rating-star__rating"">6.4</span>","<span data-value=""3401"" name=""nv"">3,401</span>","<a href=""/name/nm0629306/"">Gino Nichele</a>"
13,Barbie in 'A Christmas Carol',"<span class=""ipl-rating-star__rating"">6.2</span>","<span data-value=""2639"" name=""nv"">2,639</span>","<a href=""/name/nm0490640/"">William Lau</a>"
14,Barbie Presents: Thumbelina,"<span class=""ipl-rating-star__rating"">5.7</span>","<span data-value=""1953"" name=""nv"">1,953</span>","<a href=""/name/nm0375876/"">Conrad Helten</a>"
15,Barbie and the Three Musketeers,"<span class=""ipl-rating-star__rating"">6.2</span>","<span data-value=""3312"" name=""nv"">3,312</span>","<a href=""/name/nm0490640/"">William Lau</a>"
16,Sing Along with Barbie,"<span class=""ipl-rating-star__rating"">6.4</span>","<span data-value=""29"" name=""nv"">29</span>","<a href=""/name/nm0792198/"">Kelly Sheridan</a>"
17,Barbie in a Mermaid Tale,"<span class=""ipl-rating-star__rating"">6.2</span>","<span data-value=""2993"" name=""nv"">2,993</span>","<a href=""/name/nm0939517/"">Adam Wood</a>"
18,Barbie: A Fashion Fairytale,"<span class=""ipl-rating-star__rating"">6.3</span>","<span data-value=""2484"" name=""nv"">2,484</span>","<a href=""/name/nm0490640/"">William Lau</a>"
19,Barbie: A Fairy Secret,"<span class=""ipl-rating-star__rating"">5.7</span>","<span data-value=""1979"" name=""nv"">1,979</span>","<a href=""/name/nm0490640/"">William Lau</a>"
